-14.2,27.84,69.89,111.93,153.97,196.02,238.06,280.1,322.14,364.19,406.23,448.27,490.31,532.36,574.4,616.44,658.49,700.53,742.57,784.61,826.66,868.7,910.74,952.78,994.83,1036.87,1078.91,1120.96,1163,1205.04,1247.08,1289.13,1331.17,1373.21,1415.26,1457.3,1499.34,1541.38,1583.43,1625.47,1667.51,1709.55,1751.6,1793.64,1835.68,1877.73,1919.77,1961.81,2003.85,2045.9,2087.94,2129.98,2172.02,2214.07,2256.11,2298.15,2340.2,2382.24,2424.28,2466.32,2508.37,2550.41,2592.45,2634.5,2676.54,2718.58,2760.62,2802.67,2844.71,2886.75,2928.79,2970.84,3012.88,3054.92,3096.97,3139.01,3181.05,3223.09,3265.14,3307.18,3349.22,3391.26,3433.31,3475.35,3517.39,3559.44,3601.48,3643.52,3685.56,3727.61,3769.65,3811.69,3853.73,3895.78,3937.82,3979.86,4021.91,4063.95,4105.99,4148.03,4190.08
-18.38,26.51,71.41,116.3,161.19,206.09,250.98,295.87,340.77,385.66,430.55,475.45,520.34,565.23,610.13,655.02,699.91,744.81,789.7,834.59,879.49,924.38,969.27,1014.17,1059.06,1103.95,1148.85,1193.74,1238.63,1283.53,1328.42,1373.31,1418.21,1463.1,1507.99,1552.89,1597.78,1642.67,1687.57,1732.46,1777.35,1822.25,1867.14,1912.03,1956.93,2001.82,2046.71,2091.6,2136.5,2181.39,2226.28,2271.18,2316.07,2360.96,2405.86,2450.75,2495.64,2540.54,2585.43,2630.32,2675.22,2720.11,2765,2809.9,2854.79,2899.68,2944.58,2989.47,3034.36,3079.26,3124.15,3169.04,3213.94,3258.83,3303.72,3348.62,3393.51,3438.4,3483.3,3528.19,3573.08,3617.98,3662.87,3707.76,3752.66,3797.55,3842.44,3887.34,3932.23,3977.12,4022.02,4066.91,4111.8,4156.7,4201.59,4246.48,4291.38,4336.27,4381.16,4426.06,4470.95
-22.92,24.65,72.22,119.79,167.36,214.93,262.5,310.07,357.64,405.21,452.78,500.35,547.92,595.49,643.06,690.63,738.2,785.77,833.34,880.91,928.48,976.05,1023.62,1071.19,1118.76,1166.33,1213.9,1261.47,1309.04,1356.61,1404.18,1451.75,1499.32,1546.89,1594.46,1642.03,1689.6,1737.17,1784.74,1832.31,1879.88,1927.45,1975.02,2022.59,2070.16,2117.73,2165.3,2212.87,2260.44,2308.01,2355.58,2403.15,2450.71,2498.28,2545.85,2593.42,2640.99,2688.56,2736.13,2783.7,2831.27,2878.84,2926.41,2973.98,3021.55,3069.12,3116.69,3164.26,3211.83,3259.4,3306.97,3354.54,3402.11,3449.68,3497.25,3544.82,3592.39,3639.96,3687.53,3735.1,3782.67,3830.24,3877.81,3925.38,3972.95,4020.52,4068.09,4115.66,4163.23,4210.8,4258.37,4305.94,4353.51,4401.08,4448.65,4496.22,4543.79,4591.36,4638.93,4686.5,4734.07
-27.78,22.3,72.39,122.47,172.56,222.64,272.73,322.81,372.9,422.98,473.07,523.15,573.24,623.33,673.41,723.5,773.58,823.67,873.75,923.84,973.92,1024.01,1074.09,1124.18,1174.26,1224.35,1274.44,1324.52,1374.61,1424.69,1474.78,1524.86,1574.95,1625.03,1675.12,1725.2,1775.29,1825.38,1875.46,1925.55,1975.63,2025.72,2075.8,2125.89,2175.97,2226.06,2276.14,2326.23,2376.31,2426.4,2476.49,2526.57,2576.66,2626.74,2676.83,2726.91,2777,2827.08,2877.17,2927.25,2977.34,3027.43,3077.51,3127.6,3177.68,3227.77,3277.85,3327.94,3378.02,3428.11,3478.19,3528.28,3578.36,3628.45,3678.54,3728.62,3778.71,3828.79,3878.88,3928.96,3979.05,4029.13,4079.22,4129.3,4179.39,4229.47,4279.56,4329.65,4379.73,4429.82,4479.9,4529.99,4580.07,4630.16,4680.24,4730.33,4780.41,4830.5,4880.59,4930.67,4980.76
-32.96,19.5,71.95,124.4,176.85,229.3,281.76,334.21,386.66,439.11,491.56,544.01,596.47,648.92,701.37,753.82,806.27,858.72,911.18,963.63,1016.08,1068.53,1120.98,1173.44,1225.89,1278.34,1330.79,1383.24,1435.69,1488.15,1540.6,1593.05,1645.5,1697.95,1750.4,1802.86,1855.31,1907.76,1960.21,2012.66,2065.12,2117.57,2170.02,2222.47,2274.92,2327.37,2379.83,2432.28,2484.73,2537.18,2589.63,2642.08,2694.54,2746.99,2799.44,2851.89,2904.34,2956.8,3009.25,3061.7,3114.15,3166.6,3219.05,3271.51,3323.96,3376.41,3428.86,3481.31,3533.76,3586.22,3638.67,3691.12,3743.57,3796.02,3848.48,3900.93,3953.38,4005.83,4058.28,4110.73,4163.19,4215.64,4268.09,4320.54,4372.99,4425.44,4477.9,4530.35,4582.8,4635.25,4687.7,4740.16,4792.61,4845.06,4897.51,4949.96,5002.41,5054.87,5107.32,5159.77,5212.22
-38.41,16.27,70.95,125.63,180.31,234.99,289.67,344.35,399.03,453.71,508.39,563.07,617.75,672.43,727.11,781.79,836.47,891.15,945.83,1000.51,1055.19,1109.87,1164.55,1219.23,1273.91,1328.59,1383.27,1437.95,1492.63,1547.3,1601.98,1656.66,1711.34,1766.02,1820.7,1875.38,1930.06,1984.74,2039.42,2094.1,2148.78,2203.46,2258.14,2312.82,2367.5,2422.18,2476.86,2531.54,2586.22,2640.9,2695.58,2750.26,2804.94,2859.62,2914.3,2968.98,3023.66,3078.34,3133.02,3187.7,3242.38,3297.06,3351.74,3406.42,3461.1,3515.78,3570.46,3625.14,3679.82,3734.5,3789.18,3843.86,3898.54,3953.22,4007.9,4062.57,4117.25,4171.93,4226.61,4281.29,4335.97,4390.65,4445.33,4500.01,4554.69,4609.37,4664.05,4718.73,4773.41,4828.09,4882.77,4937.45,4992.13,5046.81,5101.49,5156.17,5210.85,5265.53,5320.21,5374.89,5429.57
-44.12,12.66,69.43,126.21,182.99,239.77,296.55,353.33,410.11,466.89,523.67,580.45,637.23,694.01,750.79,807.57,864.35,921.13,977.9,1034.68,1091.46,1148.24,1205.02,1261.8,1318.58,1375.36,1432.14,1488.92,1545.7,1602.48,1659.26,1716.04,1772.82,1829.6,1886.37,1943.15,1999.93,2056.71,2113.49,2170.27,2227.05,2283.83,2340.61,2397.39,2454.17,2510.95,2567.73,2624.51,2681.29,2738.07,2794.84,2851.62,2908.4,2965.18,3021.96,3078.74,3135.52,3192.3,3249.08,3305.86,3362.64,3419.42,3476.2,3532.98,3589.76,3646.53,3703.31,3760.09,3816.87,3873.65,3930.43,3987.21,4043.99,4100.77,4157.55,4214.33,4271.11,4327.89,4384.67,4441.45,4498.23,4555,4611.78,4668.56,4725.34,4782.12,4838.9,4895.68,4952.46,5009.24,5066.02,5122.8,5179.58,5236.36,5293.14,5349.92,5406.7,5463.47,5520.25,5577.03,5633.81
-50.08,8.68,67.44,126.2,184.96,243.72,302.48,361.23,419.99,478.75,537.51,596.27,655.03,713.79,772.55,831.31,890.07,948.83,1007.59,1066.35,1125.11,1183.87,1242.63,1301.39,1360.15,1418.91,1477.67,1536.43,1595.19,1653.95,1712.71,1771.47,1830.22,1888.98,1947.74,2006.5,2065.26,2124.02,2182.78,2241.54,2300.3,2359.06,2417.82,2476.58,2535.34,2594.1,2652.86,2711.62,2770.38,2829.14,2887.9,2946.66,3005.42,3064.18,3122.94,3181.7,3240.46,3299.22,3357.97,3416.73,3475.49,3534.25,3593.01,3651.77,3710.53,3769.29,3828.05,3886.81,3945.57,4004.33,4063.09,4121.85,4180.61,4239.37,4298.13,4356.89,4415.65,4474.41,4533.17,4591.93,4650.69,4709.45,4768.21,4826.96,4885.72,4944.48,5003.24,5062,5120.76,5179.52,5238.28,5297.04,5355.8,5414.56,5473.32,5532.08,5590.84,5649.6,5708.36,5767.12,5825.88
-56.27,4.36,64.99,125.62,186.25,246.88,307.51,368.13,428.76,489.39,550.02,610.65,671.28,731.91,792.54,853.16,913.79,974.42,1035.05,1095.68,1156.31,1216.94,1277.57,1338.2,1398.82,1459.45,1520.08,1580.71,1641.34,1701.97,1762.6,1823.23,1883.85,1944.48,2005.11,2065.74,2126.37,2187,2247.63,2308.26,2368.89,2429.51,2490.14,2550.77,2611.4,2672.03,2732.66,2793.29,2853.92,2914.55,2975.17,3035.8,3096.43,3157.06,3217.69,3278.32,3338.95,3399.58,3460.2,3520.83,3581.46,3642.09,3702.72,3763.35,3823.98,3884.61,3945.24,4005.86,4066.49,4127.12,4187.75,4248.38,4309.01,4369.64,4430.27,4490.89,4551.52,4612.15,4672.78,4733.41,4794.04,4854.67,4915.3,4975.93,5036.55,5097.18,5157.81,5218.44,5279.07,5339.7,5400.33,5460.96,5521.58,5582.21,5642.84,5703.47,5764.1,5824.73,5885.36,5945.99,6006.62
-62.66,-0.27,62.13,124.52,186.91,249.31,311.7,374.1,436.49,498.89,561.28,623.68,686.07,748.47,810.86,873.26,935.65,998.05,1060.44,1122.84,1185.23,1247.62,1310.02,1372.41,1434.81,1497.2,1559.6,1621.99,1684.39,1746.78,1809.18,1871.57,1933.97,1996.36,2058.76,2121.15,2183.54,2245.94,2308.33,2370.73,2433.12,2495.52,2557.91,2620.31,2682.7,2745.1,2807.49,2869.89,2932.28,2994.68,3057.07,3119.47,3181.86,3244.25,3306.65,3369.04,3431.44,3493.83,3556.23,3618.62,3681.02,3743.41,3805.81,3868.2,3930.6,3992.99,4055.39,4117.78,4180.18,4242.57,4304.96,4367.36,4429.75,4492.15,4554.54,4616.94,4679.33,4741.73,4804.12,4866.52,4928.91,4991.31,5053.7,5116.1,5178.49,5240.88,5303.28,5365.67,5428.07,5490.46,5552.86,5615.25,5677.65,5740.04,5802.44,5864.83,5927.23,5989.62,6052.02,6114.41,6176.81
